Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2025-03-06,87.505,88.34,80.01,80.46,117340600.0,90.13,84.4,83.42,8.33,7.8,9.2,7.95,7.045,-3.78,-4.24,5.13,116053000.0,116800300.0,114573900.0,87.401,88.138,92.06,-0.11349288695177955,0
2025-03-07,80.025,85.16,79.15,84.91,105377100.0,80.46,90.13,84.4,6.01,8.33,7.8,9.2,-4.885,7.045,-3.78,-4.24,117340600.0,116053000.0,116800300.0,83.93,85.889,90.214,0.05383175999759947,1
2025-03-10,82.0,82.69,74.57,76.38,136843800.0,84.91,80.46,90.13,8.12,6.01,8.33,7.8,5.62,-4.885,7.045,-3.78,105377100.0,117340600.0,116053000.0,84.42,85.602,89.37,-0.10587106930264772,0
2025-03-11,75.785,80.745,75.53,78.05,109351500.0,76.38,84.91,80.46,5.215,8.12,6.01,8.33,-2.265,5.62,-4.885,7.045,136843800.0,105377100.0,117340600.0,80.4,82.901,87.304,0.02162884022354685,1
2025-03-12,83.48,84.55,79.86,83.65,116525100.0,78.05,76.38,84.91,4.69,5.215,8.12,6.01,-0.17,-2.265,5.62,-4.885,109351500.0,136843800.0,105377100.0,79.225,81.48,85.831,0.06929175961258668,1
2025-03-13,82.845,83.74,78.32,79.62,100927200.0,83.65,78.05,76.38,5.42,4.69,5.215,8.12,3.225,-0.17,-2.265,5.62,116525100.0,109351500.0,136843800.0,81.438,82.116,85.484,-0.049376093605760445,0
2025-03-14,82.97,87.27,82.16,86.24,113985000.0,79.62,83.65,78.05,5.11,5.42,4.69,5.215,-3.27,3.225,-0.17,-2.265,100927200.0,116525100.0,109351500.0,80.529,81.385,84.551,0.07986873032162273,1
2025-03-17,88.44,88.82,84.5,87.35,99348900.0,86.24,79.62,83.65,4.32,5.11,5.42,4.69,1.09,-3.27,3.225,-0.17,113985000.0,100927200.0,116525100.0,83.384,82.807,84.82,0.012788936721577984,1
2025-03-18,85.78,86.17,81.8,83.89,93236500.0,87.35,86.24,79.62,4.37,4.32,5.11,5.42,1.89,1.09,-3.27,3.225,99348900.0,113985000.0,100927200.0,85.367,84.137,85.222,-0.04041660952891764,0
2025-03-19,84.55,87.99,82.86,86.1,89797400.0,83.89,87.35,86.24,5.13,4.37,4.32,5.11,-1.55,1.89,1.09,-3.27,93236500.0,99348900.0,113985000.0,84.629,84.065,85.01,0.02600298412892854,1
2025-03-20,85.54,89.8,85.12,87.39,105547400.0,86.1,83.89,87.35,4.68,5.13,4.37,4.32,-1.85,-1.55,1.89,1.09,89797400.0,93236500.0,99348900.0,85.364,84.661,85.184,0.014871458943712241,1
2025-03-21,85.85,91.07,84.46,90.96,116748700.0,87.39,86.1,83.89,6.61,4.68,5.13,4.37,-5.11,-1.85,-1.55,1.89,105547400.0,89797400.0,93236500.0,86.377,85.46,85.535,0.04003898672188989,1
2025-03-24,93.4,97.39,92.28,96.75,112164700.0,90.96,87.39,86.1,5.11,6.61,4.68,5.13,-3.35,-5.11,-1.85,-1.55,116748700.0,105547400.0,89797400.0,88.669,87.071,86.398,0.06171049253277503,1
